"","SAMPLE","GROUP","GENE","SEQ_COUNT","COPY_COUNT","SEQ_FREQ","COPY_FREQ"
"1","RA_IMM9","RA_IMM","IGHV5-17",1819,4038,0.148030598958333,0.1963530269876
"2","RA_IMM4","RA_IMM","IGHV1-26",2524,3844,0.25676500508647,0.223605374905474
"3","RA_IMM5","RA_IMM","IGHV1-5",1438,3777,0.226813880126183,0.293086055715062
"4","CS_IMM17","CS_IMM","IGHV1-72",888,3528,0.189137380191693,0.370899915895711
"5","RA_IMM4","RA_IMM","IGHV8-12",796,2157,0.0809766022380468,0.125472631027863
"6","RA_IMM8","RA_IMM","IGHV3-6",576,2008,0.0800889877641824,0.151238984710401
"7","RA_IMM8","RA_IMM","IGHV8-12",833,1728,0.115823136818687,0.13014988325676
"8","RA_IMM6","RA_IMM","IGHV9-3",880,1683,0.121162054247556,0.129481458685952
"9","RA_IMM9","RA_IMM","IGHV1-18",1073,1674,0.0873209635416667,0.0814004376367615
"10","RA_CTRL2","RA_CTRL","IGHV6-3",345,1569,0.0701647345942648,0.160053044986229
"11","CS_CTRL15","CS_CTRL","IGHV6-3",287,1491,0.134741784037559,0.318453652285348
"12","CS_IMM22","CS_IMM","IGHV3-6",468,1479,0.0832147937411095,0.157810499359795
"13","RA_IMM5","RA_IMM","IGHV3-6",281,1446,0.0443217665615142,0.112206099169706
"14","CS_IMM21","CS_IMM","IGHV1-81",754,1380,0.128625042647561,0.152773165061441
"15","CS_CTRL14","CS_CTRL","IGHV1-22",826,1317,0.29895041621426,0.337173579109063
"16","RA_CTRL2","RA_CTRL","IGHV1-5",373,1299,0.0758592637787269,0.132510455982862
"17","CS_IMM26","CS_IMM","IGHV1-55",406,1240,0.0706086956521739,0.118320610687023
"18","CS_IMM26","CS_IMM","IGHV1-53",569,1174,0.0989565217391304,0.112022900763359
"19","RA_IMM4","RA_IMM","IGHV1-22",521,1169,0.053001017293998,0.0680006980396719
"20","RA_IMM6","RA_IMM","IGHV1-34",771,1159,0.106154481619166,0.0891675642406524
"21","RA_CTRL2","RA_CTRL","IGHV1-82",546,1128,0.11104331909701,0.11506681628073
"22","RA_IMM5","RA_IMM","IGHV1-55",454,1042,0.071608832807571,0.0808566772716691
"23","RA_IMM6","RA_IMM","IGHV10-3",287,937,0.0395153517830098,0.0720880135405447
"24","CS_IMM25","CS_IMM","IGHV4-1",149,933,0.0374089881998494,0.143604740649531
"25","RA_IMM9","RA_IMM","IGHV8-12",418,921,0.0340169270833333,0.0447848285922684
"26","CS_CTRL15","CS_CTRL","IGHV3-6",230,920,0.107981220657277,0.1964972234088
"27","CS_IMM21","CS_IMM","IGHV1-26",612,894,0.104401228249744,0.0989704417137164
"28","RA_IMM8","RA_IMM","IGHV1-76",605,876,0.0841212458286986,0.0659787602621074
"29","CS_IMM22","CS_IMM","IGHV1-18",501,868,0.0890825035561878,0.0926163038839095
